"RowID","Date","Year","Location","IndicatorName","IndicatorValue","IndicatorID","IndicatorID_old","IndicatorTable"
"Tampa. FL_B23002H_052E_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Estimate; Female: - 20 to 24 years: - In labor force: (White alone, not Hispanic or Latino)","3810.0","B23002H_052E","HD01_VD52","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Tampa. FL_B23002H_010E_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Estimate; Male: - 20 to 24 years: (White alone, not Hispanic or Latino)","5441.0","B23002H_010E","HD01_VD10","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Tampa. FL_B23002H_045E_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Estimate; Female: - 16 to 19 years: - In labor force: (White alone, not Hispanic or Latino)","1022.0","B23002H_045E","HD01_VD45","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Tampa. FL_B23002H_011E_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Estimate; Male: - 20 to 24 years: - In labor force: (White alone, not Hispanic or Latino)","3871.0","B23002H_011E","HD01_VD11","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Tampa. FL_B23002H_051E_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Estimate; Female: - 20 to 24 years: (White alone, not Hispanic or Latino)","5528.0","B23002H_051E","HD01_VD51","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Tampa. FL_B23002H_018E_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Estimate; Male: - 25 to 54 years: - In labor force: (White alone, not Hispanic or Latino)","36060.0","B23002H_018E","HD01_VD18","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Tampa. FL_B23002H_044E_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Estimate; Female: - 16 to 19 years: (White alone, not Hispanic or Latino)","2685.0","B23002H_044E","HD01_VD44","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Tampa. FL_B23002H_024E_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Estimate; Male: - 55 to 64 years: (White alone, not Hispanic or Latino)","10564.0","B23002H_024E","HD01_VD24","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Tampa. FL_B23002H_017E_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Estimate; Male: - 25 to 54 years: (White alone, not Hispanic or Latino)","38842.0","B23002H_017E","HD01_VD17","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Tampa. FL_B23002H_003E_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Estimate; Male: - 16 to 19 years: (White alone, not Hispanic or Latino)","3946.0","B23002H_003E","HD01_VD03","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Tampa. FL_B23002H_066E_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Estimate; Female: - 55 to 64 years: - In labor force: (White alone, not Hispanic or Latino)","6162.0","B23002H_066E","HD01_VD66","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Tampa. FL_Calculation: (B23002H_045E+B23002H_052E+B23002H_059E+B23002H_066E)/(B23002H_044E+B23002H_051E+B23002H_058E+B23002H_065E)_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Workforce participation rate (Female, White alone, not Hispanic or Latino)","74.0","Calculation: (B23002H_045E+B23002H_052E+B23002H_059E+B23002H_066E)/(B23002H_044E+B23002H_051E+B23002H_058E+B23002H_065E)","Calculation: (HD01_VD45+HD01_VD52+HD01_VD59+HD01_VD66)/(HD01_VD44+HD01_VD51+HD01_VD58+HD01_VD65)","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Tampa. FL_Calculation: (B23002H_004E+B23002H_011E+B23002H_018E+B23002H_025E)/(B23002H_003E+B23002H_010E+B23002H_017E+B23002H_024E)_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Workforce participation rate (Male, White alone, not Hispanic or Latino)","82.0","Calculation: (B23002H_004E+B23002H_011E+B23002H_018E+B23002H_025E)/(B23002H_003E+B23002H_010E+B23002H_017E+B23002H_024E)","Calculation: (HD01_VD04+HD01_VD11+HD01_VD18+HD01_VD25)/(HD01_VD03+HD01_VD10+HD01_VD17+HD01_VD24)","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Tampa. FL_B23002H_059E_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Estimate; Female: - 25 to 54 years: - In labor force: (White alone, not Hispanic or Latino)","29910.0","B23002H_059E","HD01_VD59","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Tampa. FL_B23002H_025E_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Estimate; Male: - 55 to 64 years: - In labor force: (White alone, not Hispanic or Latino)","7347.0","B23002H_025E","HD01_VD25","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Tampa. FL_B23002H_058E_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Estimate; Female: - 25 to 54 years: (White alone, not Hispanic or Latino)","37155.0","B23002H_058E","HD01_VD58","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Tampa. FL_B23002H_004E_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Estimate; Male: - 16 to 19 years: - In labor force: (White alone, not Hispanic or Latino)","900.0","B23002H_004E","HD01_VD04","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Tampa. FL_B23002H_065E_2010","01/01/2010 12:00:00 AM","2010","Tampa. FL","Estimate; Female: - 55 to 64 years: (White alone, not Hispanic or Latino)","9732.0","B23002H_065E","HD01_VD65","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_B23002H_052E_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Estimate; Female: - 20 to 24 years: - In labor force: (White alone, not Hispanic or Latino)","4767.0","B23002H_052E","HD01_VD52","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_B23002H_010E_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Estimate; Male: - 20 to 24 years: (White alone, not Hispanic or Latino)","7873.0","B23002H_010E","HD01_VD10","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_B23002H_045E_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Estimate; Female: - 16 to 19 years: - In labor force: (White alone, not Hispanic or Latino)","396.0","B23002H_045E","HD01_VD45","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_B23002H_011E_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Estimate; Male: - 20 to 24 years: - In labor force: (White alone, not Hispanic or Latino)","4502.0","B23002H_011E","HD01_VD11","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_B23002H_051E_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Estimate; Female: - 20 to 24 years: (White alone, not Hispanic or Latino)","6872.0","B23002H_051E","HD01_VD51","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_B23002H_018E_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Estimate; Male: - 25 to 54 years: - In labor force: (White alone, not Hispanic or Latino)","42247.0","B23002H_018E","HD01_VD18","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_B23002H_044E_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Estimate; Female: - 16 to 19 years: (White alone, not Hispanic or Latino)","3576.0","B23002H_044E","HD01_VD44","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_B23002H_024E_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Estimate; Male: - 55 to 64 years: (White alone, not Hispanic or Latino)","7112.0","B23002H_024E","HD01_VD24","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_B23002H_017E_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Estimate; Male: - 25 to 54 years: (White alone, not Hispanic or Latino)","44814.0","B23002H_017E","HD01_VD17","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_B23002H_003E_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Estimate; Male: - 16 to 19 years: (White alone, not Hispanic or Latino)","3961.0","B23002H_003E","HD01_VD03","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_B23002H_066E_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Estimate; Female: - 55 to 64 years: - In labor force: (White alone, not Hispanic or Latino)","4337.0","B23002H_066E","HD01_VD66","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_Calculation: (B23002H_045E+B23002H_052E+B23002H_059E+B23002H_066E)/(B23002H_044E+B23002H_051E+B23002H_058E+B23002H_065E)_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Workforce participation rate (Female, White alone, not Hispanic or Latino)","76.0","Calculation: (B23002H_045E+B23002H_052E+B23002H_059E+B23002H_066E)/(B23002H_044E+B23002H_051E+B23002H_058E+B23002H_065E)","Calculation: (HD01_VD45+HD01_VD52+HD01_VD59+HD01_VD66)/(HD01_VD44+HD01_VD51+HD01_VD58+HD01_VD65)","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_Calculation: (B23002H_004E+B23002H_011E+B23002H_018E+B23002H_025E)/(B23002H_003E+B23002H_010E+B23002H_017E+B23002H_024E)_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Workforce participation rate (Male, White alone, not Hispanic or Latino)","82.0","Calculation: (B23002H_004E+B23002H_011E+B23002H_018E+B23002H_025E)/(B23002H_003E+B23002H_010E+B23002H_017E+B23002H_024E)","Calculation: (HD01_VD04+HD01_VD11+HD01_VD18+HD01_VD25)/(HD01_VD03+HD01_VD10+HD01_VD17+HD01_VD24)","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_B23002H_059E_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Estimate; Female: - 25 to 54 years: - In labor force: (White alone, not Hispanic or Latino)","33274.0","B23002H_059E","HD01_VD59","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_B23002H_025E_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Estimate; Male: - 55 to 64 years: - In labor force: (White alone, not Hispanic or Latino)","5145.0","B23002H_025E","HD01_VD25","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_B23002H_058E_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Estimate; Female: - 25 to 54 years: (White alone, not Hispanic or Latino)","38673.0","B23002H_058E","HD01_VD58","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_B23002H_004E_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Estimate; Male: - 16 to 19 years: - In labor force: (White alone, not Hispanic or Latino)","490.0","B23002H_004E","HD01_VD04","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Atlanta, GA_B23002H_065E_2010","01/01/2010 12:00:00 AM","2010","Atlanta, GA","Estimate; Female: - 55 to 64 years: (White alone, not Hispanic or Latino)","7229.0","B23002H_065E","HD01_VD65","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_B23002H_052E_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Estimate; Female: - 20 to 24 years: - In labor force: (White alone, not Hispanic or Latino)","10948.0","B23002H_052E","HD01_VD52","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_B23002H_010E_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Estimate; Male: - 20 to 24 years: (White alone, not Hispanic or Latino)","12947.0","B23002H_010E","HD01_VD10","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_B23002H_045E_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Estimate; Female: - 16 to 19 years: - In labor force: (White alone, not Hispanic or Latino)","4839.0","B23002H_045E","HD01_VD45","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_B23002H_011E_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Estimate; Male: - 20 to 24 years: - In labor force: (White alone, not Hispanic or Latino)","11584.0","B23002H_011E","HD01_VD11","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_B23002H_051E_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Estimate; Female: - 20 to 24 years: (White alone, not Hispanic or Latino)","13155.0","B23002H_051E","HD01_VD51","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_B23002H_018E_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Estimate; Male: - 25 to 54 years: - In labor force: (White alone, not Hispanic or Latino)","77621.0","B23002H_018E","HD01_VD18","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_B23002H_044E_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Estimate; Female: - 16 to 19 years: (White alone, not Hispanic or Latino)","9549.0","B23002H_044E","HD01_VD44","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_B23002H_024E_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Estimate; Male: - 55 to 64 years: (White alone, not Hispanic or Latino)","26304.0","B23002H_024E","HD01_VD24","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_B23002H_017E_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Estimate; Male: - 25 to 54 years: (White alone, not Hispanic or Latino)","86306.0","B23002H_017E","HD01_VD17","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_B23002H_003E_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Estimate; Male: - 16 to 19 years: (White alone, not Hispanic or Latino)","9475.0","B23002H_003E","HD01_VD03","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_B23002H_066E_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Estimate; Female: - 55 to 64 years: - In labor force: (White alone, not Hispanic or Latino)","16992.0","B23002H_066E","HD01_VD66","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_Calculation: (B23002H_045E+B23002H_052E+B23002H_059E+B23002H_066E)/(B23002H_044E+B23002H_051E+B23002H_058E+B23002H_065E)_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Workforce participation rate (Female, White alone, not Hispanic or Latino)","72.0","Calculation: (B23002H_045E+B23002H_052E+B23002H_059E+B23002H_066E)/(B23002H_044E+B23002H_051E+B23002H_058E+B23002H_065E)","Calculation: (HD01_VD45+HD01_VD52+HD01_VD59+HD01_VD66)/(HD01_VD44+HD01_VD51+HD01_VD58+HD01_VD65)","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_Calculation: (B23002H_004E+B23002H_011E+B23002H_018E+B23002H_025E)/(B23002H_003E+B23002H_010E+B23002H_017E+B23002H_024E)_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Workforce participation rate (Male, White alone, not Hispanic or Latino)","83.0","Calculation: (B23002H_004E+B23002H_011E+B23002H_018E+B23002H_025E)/(B23002H_003E+B23002H_010E+B23002H_017E+B23002H_024E)","Calculation: (HD01_VD04+HD01_VD11+HD01_VD18+HD01_VD25)/(HD01_VD03+HD01_VD10+HD01_VD17+HD01_VD24)","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_B23002H_059E_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Estimate; Female: - 25 to 54 years: - In labor force: (White alone, not Hispanic or Latino)","67808.0","B23002H_059E","HD01_VD59","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_B23002H_025E_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Estimate; Male: - 55 to 64 years: - In labor force: (White alone, not Hispanic or Latino)","17472.0","B23002H_025E","HD01_VD25","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_B23002H_058E_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Estimate; Female: - 25 to 54 years: (White alone, not Hispanic or Latino)","87783.0","B23002H_058E","HD01_VD58","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_B23002H_004E_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Estimate; Male: - 16 to 19 years: - In labor force: (White alone, not Hispanic or Latino)","4826.0","B23002H_004E","HD01_VD04","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Louisville, KY_B23002H_065E_2010","01/01/2010 12:00:00 AM","2010","Louisville, KY","Estimate; Female: - 55 to 64 years: (White alone, not Hispanic or Latino)","28859.0","B23002H_065E","HD01_VD65","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Baton Rouge, LA_B23002H_052E_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Estimate; Female: - 20 to 24 years: - In labor force: (White alone, not Hispanic or Latino)","5803.0","B23002H_052E","HD01_VD52","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Baton Rouge, LA_B23002H_010E_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Estimate; Male: - 20 to 24 years: (White alone, not Hispanic or Latino)","8740.0","B23002H_010E","HD01_VD10","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Baton Rouge, LA_B23002H_045E_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Estimate; Female: - 16 to 19 years: - In labor force: (White alone, not Hispanic or Latino)","2038.0","B23002H_045E","HD01_VD45","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Baton Rouge, LA_B23002H_011E_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Estimate; Male: - 20 to 24 years: - In labor force: (White alone, not Hispanic or Latino)","5486.0","B23002H_011E","HD01_VD11","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Baton Rouge, LA_B23002H_051E_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Estimate; Female: - 20 to 24 years: (White alone, not Hispanic or Latino)","6880.0","B23002H_051E","HD01_VD51","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Miami, FL_B23001_120E_2010","01/01/2010 12:00:00 AM","2010","Miami, FL","Estimate; Female: - 30 to 34 years: (All)","14968.0","B23001_120E","HD01_VD120","B23001: Sex by age by employment status"
"Baton Rouge, LA_B23002H_018E_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Estimate; Male: - 25 to 54 years: - In labor force: (White alone, not Hispanic or Latino)","15360.0","B23002H_018E","HD01_VD18","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Baton Rouge, LA_B23002H_044E_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Estimate; Female: - 16 to 19 years: (White alone, not Hispanic or Latino)","4118.0","B23002H_044E","HD01_VD44","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Baton Rouge, LA_B23002H_024E_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Estimate; Male: - 55 to 64 years: (White alone, not Hispanic or Latino)","4477.0","B23002H_024E","HD01_VD24","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Baton Rouge, LA_B23002H_017E_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Estimate; Male: - 25 to 54 years: (White alone, not Hispanic or Latino)","16970.0","B23002H_017E","HD01_VD17","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Baton Rouge, LA_B23002H_003E_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Estimate; Male: - 16 to 19 years: (White alone, not Hispanic or Latino)","2528.0","B23002H_003E","HD01_VD03","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Baton Rouge, LA_B23002H_066E_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Estimate; Female: - 55 to 64 years: - In labor force: (White alone, not Hispanic or Latino)","3803.0","B23002H_066E","HD01_VD66","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
"Baton Rouge, LA_Calculation: (B23002H_045E+B23002H_052E+B23002H_059E+B23002H_066E)/(B23002H_044E+B23002H_051E+B23002H_058E+B23002H_065E)_2010","01/01/2010 12:00:00 AM","2010","Baton Rouge, LA","Workforce participation rate (Female, White alone, not Hispanic or Latino)","74.0","Calculation: (B23002H_045E+B23002H_052E+B23002H_059E+B23002H_066E)/(B23002H_044E+B23002H_051E+B23002H_058E+B23002H_065E)","Calculation: (HD01_VD45+HD01_VD52+HD01_VD59+HD01_VD66)/(HD01_VD44+HD01_VD51+HD01_VD58+HD01_VD65)","B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
