Licensee Name,Street,City,State,Zip,Licensee Number,Channel Type,Account Name,Location
DEL FRISCO'S GRILLE,11800 GRAND PARK AVENUE,ROCKVILLE,MD,20852,BBWLHR856,On Premise,DEL FRISO'S GRILLE OF MARYLAND,"11800 GRAND PARK AVENUE
ROCKVILLE, MD 20852
"
PALADAR LATIN KITCHEN & RUM BAR - G,203 CROWNE PARK AVENUE,GAITHERSBURG,MD,20878,BBWLHR855,On Premise,"PALADAR GAITHERSBURG, LLC","203 CROWNE PARK AVENUE
GAITHERSBURG, MD 20878
"
29 CONVENIENCE MART,10755 COLESVILLE ROAD,SILVER SPRING,MD,20901,DBW125,On/Off-Premise,"JACOB'S MIRAE, INC.","10755 COLESVILLE ROAD
SILVER SPRING, MD 20901
"
ASIA NINE II,254 CROWN PARK ROAD,GAITHERSBURG,MD,20878,BBWLHR861,On Premise,"THAIDEE, INC","254 CROWN PARK ROAD
GAITHERSBURG, MD 20878
"
BLO BLOW DRY BAR,317 ELLINGTON BOULEVARD,GAITHERSBURG,MD,20878,SBSBW0001,On Premise,"YATA MOCO, LLC","317 ELLINGTON BOULEVARD
GAITHERSBURG, MD 20878
"
MAKI MAKI SUSHI,8023 WISCONSIN AVE,BETHESDA,MD,20814,HBW224,On Premise,"JTL, LLC","8023 WISCONSIN AVE
BETHESDA, MD 20814
(38.991082, -77.095581)"
CAMBRIA HOTEL & SUITES,1 HELEN HENEGHAN WAY,ROCKVILLE,MD,20850,BBWLHM20442,On Premise,"CRESENT HOTELS & RESORT, LLC","1 HELEN HENEGHAN WAY
ROCKVILLE, MD 20850
"
CARLUCCIO'S,11826 TRADE STREET,NORTH BETHESDA,MD,20852,BDBWLHR22663,On/Off-Premise,CARLUCCIO'S USA GP,"11826 TRADE STREET
NORTH BETHESDA, MD 20852
"
BRETTON WOODS RECREATION CENTER,15700 RIVER ROAD,GERMANTOWN,MD,20874,CBWLCC006,On Premise,"BRETTON WOODS REC. CENTER, INC","15700 RIVER ROAD
GERMANTOWN, MD 20874
"
TEDS BULLETIN,220 ELLINGTON BOULEVARD,GAITHERSBURG,MD,20878,BBWLHR18583,On Premise,SWEATER VEST LLC,"220 ELLINGTON BOULEVARD
GAITHERSBURG, MD 20878
"
POOLESVILLE GOLF COURSE,16601 WEST WILLARD ROAD,POOLESVILLE,MD,20837,HBW084,On Premise,MONTGOMERY COUNTY REVENUE AUTH,"16601 WEST WILLARD ROAD
POOLESVILLE, MD 20837
"
OLD TOWN POUR HOUSE,212 ELLINGTON BOULEVARD,GAITHERSBURG,MD,20878,BBWLHR18725,On Premise,"BOTTLENECK DTC, LLC","212 ELLINGTON BOULEVARD
GAITHERSBURG, MD 20878
"
,,,,,,,,
TOKYO FIRE,9811 MAIN ST,DAMASCUS,MD,20872,HBW24576,On Premise,TOKYO FIRE INC,"9811 MAIN ST
DAMASCUS, MD 20872
(39.288273, -77.203601)"
IPIC THEATER,11830 GRAND PARK AVENUE,NORTH BETHESDA,MD,20852,BBWLHR863,On Premise,"IPIC-GOLD CLASS ENTERTAINMENT,","11830 GRAND PARK AVENUE
NORTH BETHESDA, MD 20852
"
HYATT REGENCY BETHESDA,ONE BETHESDA METRO,BETHESDA,MD,20814,BBWLHM21674,On Premise,"TMG II BETHESDA HOTEL TRS, LLC","ONE BETHESDA METRO
BETHESDA, MD 20814
"
HOLIDAY INN GAITHERSBURG,TWO MONTGOMERY VILLAGE AVE,GAITHERSBURG,MD,20879,BBWLHM003,On Premise,MONTGOMERY VILLAGE HOSPITALITY,"TWO MONTGOMERY VILLAGE AVE
GAITHERSBURG, MD 20879
"
SMASHBURGER - GAITHERSBURG,200 ELLINGTON BOULEVARD,GAITHERSBURG,MD,20878,BBWLHR847,On Premise,SMASHBURGER ACQUISITION - MD L,"200 ELLINGTON BOULEVARD
GAITHERSBURG, MD 20878
"
GEMELLI'S ITALIAN MARKET,12169 DARNESTOWN ROAD,GAITHERSBURG,MD,20878,DBW151,On/Off-Premise,"GEMELLI'S ITALIAN MARKET, LLC","12169 DARNESTOWN ROAD
GAITHERSBURG, MD 20878
"
DOWNTOWN BEER & WINE,5751 E FISHER LANE,ROCKVILLE,MD,20852,ABWS272,Off Premise,"DOWNTOWN BEER & WINE 2, INC","5751 E FISHER LANE
ROCKVILLE, MD 20852
"
TED'S MONTANA GRILL,105 ELLINGTON BOULEVARD,GAITHERSBURG,MD,20878,BBWLHR21344,On Premise,"TMG OF GAITHERSBURG, LLC","105 ELLINGTON BOULEVARD
GAITHERSBURG, MD 20878
"
URBAN BAR-B-QUE CO.,5566 NORBECK ROAD,ROCKVILLE,MD,20853,BBWLHR689,On Premise,URBAN BURGER COMPANY INC.,"5566 NORBECK ROAD
ROCKVILLE, MD 20853
(39.095463, -77.111687)"
GAITHERSTOWNE BEER & WINE,296 N. FREDERICK AVENUE,GAITHERSBURG,MD,20877,ABWS284,Off Premise,GAITHERSTOWNE BEER & WINE,"296 N. FREDERICK AVENUE
GAITHERSBURG, MD 20877
(39.14483, -77.202679)"
HOLLYWOOD EAST CAFE - WESTFIELD,"11160 VEIRS MILL ROAD, #1",SILVER SPRING,MD,20902,BBWLHR582,On Premise,"FOUR KINGS ENTERPRISES, INC.","11160 VEIRS MILL ROAD, #1
SILVER SPRING, MD 20902
(39.038177, -77.052681)"
ARGYLE COUNTRY CLUB,14600 ARGYLE CLUB ROAD,SILVER SPRING,MD,20906,CBWLCC003,On Premise,ARGYLE LAND COMPANY INC.,"14600 ARGYLE CLUB ROAD
SILVER SPRING, MD 20906
(39.096409, -77.046569)"
THE CAPITAL GRILLE,"5310 WESTERN AVE, SUITE A",CHEVY CHASE,MD,20815,BBWLHR557,On Premise,"GMR MONTGOMERY COUNTY, INC.","5310 WESTERN AVE, SUITE A
CHEVY CHASE, MD 20815
(38.959313, -77.087623)"
THE TAVERN AT RIVER FALLS,10128 RIVER ROAD,POTOMAC,MD,20854,BBWLHR22787,On Premise,"POTOMAC FALLS TAVERN, LLC","10128 RIVER ROAD
POTOMAC, MD 20854
(39.017724, -77.208627)"
JERRYS SUB SHOP,15547 OLD COLUMBIA PIKE,BURTONSVILLE,MD,20866,HBW096,On Premise,"CHAI III, INC.","15547 OLD COLUMBIA PIKE
BURTONSVILLE, MD 20866
(39.109731, -76.934835)"
