RowID,Date,Year,Location,IndicatorName,IndicatorValue,Notes
"Atlanta, GAMurder and nonnegligent manslaughter2005",12/31/2005 12:00:00 AM,2005,"Atlanta, GA",Murder and nonnegligent manslaughter,90,
"Baton Rouge, LAMurder and nonnegligent manslaughter2005",12/31/2005 12:00:00 AM,2005,"Baton Rouge, LA",Murder and nonnegligent manslaughter,49,
"Memphis, TNMurder and nonnegligent manslaughter2005",12/31/2005 12:00:00 AM,2005,"Memphis, TN",Murder and nonnegligent manslaughter,138,
"Miami, FLMurder and nonnegligent manslaughter2005",12/31/2005 12:00:00 AM,2005,"Miami, FL",Murder and nonnegligent manslaughter,54,
"Nashville, TNMurder and nonnegligent manslaughter2005",12/31/2005 12:00:00 AM,2005,"Nashville, TN",Murder and nonnegligent manslaughter,95,
"New Orleans, LAMurder and nonnegligent manslaughter2005",12/31/2005 12:00:00 AM,2005,"New Orleans, LA",Murder and nonnegligent manslaughter,,
"Oklahoma City, OKMurder and nonnegligent manslaughter2005",12/31/2005 12:00:00 AM,2005,"Oklahoma City, OK",Murder and nonnegligent manslaughter,54,
"Raleigh, NCMurder and nonnegligent manslaughter2005",12/31/2005 12:00:00 AM,2005,"Raleigh, NC",Murder and nonnegligent manslaughter,20,
"Tampa, FLMurder and nonnegligent manslaughter2005",12/31/2005 12:00:00 AM,2005,"Tampa, FL",Murder and nonnegligent manslaughter,20,
Benchmark AverageMurder and nonnegligent manslaughter2005,12/31/2005 12:00:00 AM,2005,Benchmark Average,Murder and nonnegligent manslaughter,64,
"Atlanta, GAProperty crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"Atlanta, GA","Property crime rate (per 100,000 population)",7290,
"Baton Rouge, LAProperty crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"Baton Rouge, LA","Property crime rate (per 100,000 population)",6405,
"Memphis, TNProperty crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"Memphis, TN","Property crime rate (per 100,000 population)",8369,
"Miami, FLProperty crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"Miami, FL","Property crime rate (per 100,000 population)",6006,
"Nashville, TNProperty crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"Nashville, TN","Property crime rate (per 100,000 population)",6426,
"New Orleans, LAProperty crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"New Orleans, LA","Property crime rate (per 100,000 population)",,
"Oklahoma City, OKProperty crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"Oklahoma City, OK","Property crime rate (per 100,000 population)",7927,
"Raleigh, NCProperty crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"Raleigh, NC","Property crime rate (per 100,000 population)",3773,
"Tampa, FLProperty crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"Tampa, FL","Property crime rate (per 100,000 population)",6161,
"Benchmark AverageProperty crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,Benchmark Average,"Property crime rate (per 100,000 population)",6545,
"Atlanta, GAViolent crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"Atlanta, GA","Violent crime rate (per 100,000 population)",1675,
"Baton Rouge, LAViolent crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"Baton Rouge, LA","Violent crime rate (per 100,000 population)",1202,
"Memphis, TNViolent crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"Memphis, TN","Violent crime rate (per 100,000 population)",1861,
"Miami, FLViolent crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"Miami, FL","Violent crime rate (per 100,000 population)",1580,
"Nashville, TNViolent crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"Nashville, TN","Violent crime rate (per 100,000 population)",1611,
"New Orleans, LAViolent crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"New Orleans, LA","Violent crime rate (per 100,000 population)",,
"Oklahoma City, OKViolent crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"Oklahoma City, OK","Violent crime rate (per 100,000 population)",854,
"Raleigh, NCViolent crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"Raleigh, NC","Violent crime rate (per 100,000 population)",618,
"Tampa, FLViolent crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,"Tampa, FL","Violent crime rate (per 100,000 population)",1431,
"Benchmark AverageViolent crime rate (per 100,000 population)2005",12/31/2005 12:00:00 AM,2005,Benchmark Average,"Violent crime rate (per 100,000 population)",1354,
"Atlanta, GAMurder and nonnegligent manslaughter2006",12/31/2006 12:00:00 AM,2006,"Atlanta, GA",Murder and nonnegligent manslaughter,110,
"Baton Rouge, LAMurder and nonnegligent manslaughter2006",12/31/2006 12:00:00 AM,2006,"Baton Rouge, LA",Murder and nonnegligent manslaughter,57,
"Memphis, TNMurder and nonnegligent manslaughter2006",12/31/2006 12:00:00 AM,2006,"Memphis, TN",Murder and nonnegligent manslaughter,149,
"Miami, FLMurder and nonnegligent manslaughter2006",12/31/2006 12:00:00 AM,2006,"Miami, FL",Murder and nonnegligent manslaughter,77,
"Nashville, TNMurder and nonnegligent manslaughter2006",12/31/2006 12:00:00 AM,2006,"Nashville, TN",Murder and nonnegligent manslaughter,80,
"New Orleans, LAMurder and nonnegligent manslaughter2006",12/31/2006 12:00:00 AM,2006,"New Orleans, LA",Murder and nonnegligent manslaughter,162,
"Oklahoma City, OKMurder and nonnegligent manslaughter2006",12/31/2006 12:00:00 AM,2006,"Oklahoma City, OK",Murder and nonnegligent manslaughter,55,
"Raleigh, NCMurder and nonnegligent manslaughter2006",12/31/2006 12:00:00 AM,2006,"Raleigh, NC",Murder and nonnegligent manslaughter,19,
"Tampa, FLMurder and nonnegligent manslaughter2006",12/31/2006 12:00:00 AM,2006,"Tampa, FL",Murder and nonnegligent manslaughter,25,
Benchmark AverageMurder and nonnegligent manslaughter2006,12/31/2006 12:00:00 AM,2006,Benchmark Average,Murder and nonnegligent manslaughter,69,
"Atlanta, GAProperty crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,"Atlanta, GA","Property crime rate (per 100,000 population)",6635,
"Baton Rouge, LAProperty crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,"Baton Rouge, LA","Property crime rate (per 100,000 population)",6976,
"Memphis, TNProperty crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,"Memphis, TN","Property crime rate (per 100,000 population)",8368,
"Miami, FLProperty crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,"Miami, FL","Property crime rate (per 100,000 population)",5163,
"Nashville, TNProperty crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,"Nashville, TN","Property crime rate (per 100,000 population)",5817,
"New Orleans, LAProperty crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,"New Orleans, LA","Property crime rate (per 100,000 population)",2825,
"Oklahoma City, OKProperty crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,"Oklahoma City, OK","Property crime rate (per 100,000 population)",6398,
"Raleigh, NCProperty crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,"Raleigh, NC","Property crime rate (per 100,000 population)",3632,
"Tampa, FLProperty crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,"Tampa, FL","Property crime rate (per 100,000 population)",5668,
"Benchmark AverageProperty crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,Benchmark Average,"Property crime rate (per 100,000 population)",6082,
"Atlanta, GAViolent crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,"Atlanta, GA","Violent crime rate (per 100,000 population)",1554,
"Baton Rouge, LAViolent crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,"Baton Rouge, LA","Violent crime rate (per 100,000 population)",1403,
"Memphis, TNViolent crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,"Memphis, TN","Violent crime rate (per 100,000 population)",1991,
"Miami, FLViolent crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,"Miami, FL","Violent crime rate (per 100,000 population)",1509,
"Nashville, TNViolent crime rate (per 100,000 population)2006",12/31/2006 12:00:00 AM,2006,"Nashville, TN","Violent crime rate (per 100,000 population)",1527,
