RowID,Date,Year,Location,IndicatorName,IndicatorValue,IndicatorID,IndicatorID_old,IndicatorTable
Tampa. FL_B23002H_052E_2010,01/01/2010 12:00:00 AM,2010,Tampa. FL,"Estimate; Female: - 20 to 24 years: - In labor force: (White alone, not Hispanic or Latino)",3810,B23002H_052E,HD01_VD52,"B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
Tampa. FL_B23002H_010E_2010,01/01/2010 12:00:00 AM,2010,Tampa. FL,"Estimate; Male: - 20 to 24 years: (White alone, not Hispanic or Latino)",5441,B23002H_010E,HD01_VD10,"B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
Tampa. FL_B23002H_045E_2010,01/01/2010 12:00:00 AM,2010,Tampa. FL,"Estimate; Female: - 16 to 19 years: - In labor force: (White alone, not Hispanic or Latino)",1022,B23002H_045E,HD01_VD45,"B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
Tampa. FL_B23002H_011E_2010,01/01/2010 12:00:00 AM,2010,Tampa. FL,"Estimate; Male: - 20 to 24 years: - In labor force: (White alone, not Hispanic or Latino)",3871,B23002H_011E,HD01_VD11,"B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
Tampa. FL_B23002H_051E_2010,01/01/2010 12:00:00 AM,2010,Tampa. FL,"Estimate; Female: - 20 to 24 years: (White alone, not Hispanic or Latino)",5528,B23002H_051E,HD01_VD51,"B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
Tampa. FL_B23002H_018E_2010,01/01/2010 12:00:00 AM,2010,Tampa. FL,"Estimate; Male: - 25 to 54 years: - In labor force: (White alone, not Hispanic or Latino)",36060,B23002H_018E,HD01_VD18,"B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
Tampa. FL_B23002H_044E_2010,01/01/2010 12:00:00 AM,2010,Tampa. FL,"Estimate; Female: - 16 to 19 years: (White alone, not Hispanic or Latino)",2685,B23002H_044E,HD01_VD44,"B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
Tampa. FL_B23002H_024E_2010,01/01/2010 12:00:00 AM,2010,Tampa. FL,"Estimate; Male: - 55 to 64 years: (White alone, not Hispanic or Latino)",10564,B23002H_024E,HD01_VD24,"B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
Tampa. FL_B23002H_017E_2010,01/01/2010 12:00:00 AM,2010,Tampa. FL,"Estimate; Male: - 25 to 54 years: (White alone, not Hispanic or Latino)",38842,B23002H_017E,HD01_VD17,"B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
Tampa. FL_B23002H_003E_2010,01/01/2010 12:00:00 AM,2010,Tampa. FL,"Estimate; Male: - 16 to 19 years: (White alone, not Hispanic or Latino)",3946,B23002H_003E,HD01_VD03,"B23002H: Sex by age by employment status (White alone, not Hispanic or Latino)"
